index,OCC_COMPL,LAST_N,FIRST_N,PER_GRP,PER_COMPL,LOC_PAR,LOC_STR,NUM,LOC_COMPL,NORM_PARISH,DISTRICT,geometry,geometry_from,profession,profession_eng,category,category_eng,PAGE_NUM
5160,,Berlendis,"Giuseppe,",,,s. Marco,calle dei pignoli,746,,marco,San Marco,POINT (12.338169034089924 45.43569326719038),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,304
5161,,Brinis,"Andrea,",,,s. Luca,camp. della Malvasia,4411,,luca,San Marco,POINT (12.335717233845441 45.4351730636603),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,304
5162,,Capri,"Giuseppe,",,,s. Marziale,campo dei fiori s. Fosca,2243,,marziale,Cannaregio,POINT (12.332291269004697 45.44239314522079),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,304
5163,,Chiarabba,"Guglielmo,",,,ss. Ermag. e Fort.,campo s. Fosca,2223,,ermargora e fortunato,Cannaregio,POINT (12.332028687405725 45.442859700408306),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5164,,Chielin,"Giovanni,",,,s. Zaccaria,riva degli Schiavoni,4183,,zaccaria,Castello,POINT (12.343050373060633 45.43405996453678),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5165,,Chitarin,Giovanni,,"fu Matteo,",s. Salvatore,fondaco Tedeschi,5349,,salvador,San Marco,POINT (12.336771484097886 45.43804611330393),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5166,,Cogo,"Alvise,",,,s. Zaccaria,riva degli Schiavoni,4172,,zaccaria,Castello,POINT (12.343452625013581 45.43408079734747),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5167,,Frenkel,"Natale,",,,s. Marco,all’ Ascensione,1243,,marco,San Marco,POINT (12.33723722199838 45.43309712057428),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5168,,Graputto,"Giacomo,",,,s. Pietro,,86,,pietro,Castello,POINT (12.357482093547741 45.43472364631845),interpolation,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5169,,Graputto,"Giovanni,",,,s. Eufemia,,609,,eufemia,Dorsoduro,POINT (12.329351277286033 45.42983778438126),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5170,,Marchesini,"Vincenzo,",,,s. Martino,s. Biagio,2133,,martino,Castello,POINT (12.349357340300841 45.43351521795611),cadaster,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5171,,Molena,"Lorenzo,",,,s. Pietro,via nuova,1827,,pietro,Castello,POINT (12.355547897012077 45.43257983639735),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5172,,,"Antonio,",,,s. Silvestro,campo dei Meloni,1415,,silvestro,San Polo,POINT (12.331179106064004 45.437306937333695),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5173,,Rigo,"Antonio,",,,s. Salvatore,calle dell’ Orso,5515,,salvador,San Marco,POINT (12.337372579203402 45.43822067769375),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5174,,Rigo,"Pietro,",,,s. M. del Rosario,fond. Zorzi,370,,madonna del rosario,Dorsoduro,POINT (12.33113692787986 45.43031004289851),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5175,,Zanier,"Valentino,",,,s. Silvestro,sottop. s Giacometto,57,,silvestro,San Polo,POINT (12.334863380771804 45.43868615114335),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5175,,Zanier,"Valentino,",,,s. Silvestro,sottop. s Giacometto,57,,silvestro,San Polo,POINT (12.334863380771804 45.43868615114335),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5176,,Zanier,"Valentino,",,,s. Silvestro,sottop. s Giacometto,58,,silvestro,San Polo,POINT (12.33488108009448 45.43867409853786),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5176,,Zanier,"Valentino,",,,s. Silvestro,sottop. s Giacometto,58,,silvestro,San Polo,POINT (12.33488108009448 45.43867409853786),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5177,,Zevi,David,,,s. Marco,merceria dell’ orologio,260,,marco,San Marco,POINT (12.338515204580293 45.43533275471828),contemporary,tele fine e greggie(negozianti di),Fine and raw canvases,Filiera del tessuto,Fabric supply chain,305
5178,,Baretta,"Domenico,",,,ss. Gio. e Paolo,barbaria delle tavole,6476,,giovanni e paolo,Castello,POINT (12.344659794208665 45.4385257639132),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5179,,Baretta,"Domenico,",,"rapp. da Rossi Giuseppe,",s. Salvatore,merceria,4924,,salvador,San Marco,POINT (12.33739974262937 45.43627365135688),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5180,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4773,,salvador,San Marco,POINT (12.335605302030226 45.43648505547863),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5180,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4773,,salvador,San Marco,POINT (12.335605302030226 45.43648505547863),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5180,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4773,,salvador,San Marco,POINT (12.335605302030226 45.43648505547863),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5181,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4774,,salvador,San Marco,POINT (12.337682330849379 45.43819097278943),cadaster,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5181,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4774,,salvador,San Marco,POINT (12.337682330849379 45.43819097278943),cadaster,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5181,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4774,,salvador,San Marco,POINT (12.337682330849379 45.43819097278943),cadaster,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5182,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4775,,salvador,San Marco,POINT (12.335533710511992 45.436450571910605),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5182,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4775,,salvador,San Marco,POINT (12.335533710511992 45.436450571910605),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5182,,Caviola,Antonio,,"rapp. da Caviola Giuseppe,",s. Salvatore,calle del lovo,4775,,salvador,San Marco,POINT (12.335533710511992 45.436450571910605),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5183,,Cian,"Antonio,",,,s. M. Formosa,salizz. s. Lio,5817,,maria formosa,Castello,POINT (12.339808333766177 45.436874254199395),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5184,,Cieci,"Giovanni,",,,s. Silvestro,rioterra di carampane,1911,,silvestro,San Polo,POINT (12.331090206818951 45.438667878864024),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5185,"rapp. la Ditta Cessionarj della Vetreria Marietti,",Colli,Antonio,,,s.Canciano,calle Dolfin,6095,,canciano,Cannaregio,POINT (12.33930757269242 45.43910615022834),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5186,,Dabala,"Elena,",,,ss. Gerv. e Prot.,calle Taoletta,1230,,gervasio e protasio,Cannaregio,POINT (12.325808693527886 45.44469882883681),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5187,,Dalla Man,"Leone,",,,ss. Ermag. e Fort.,rio terra due ponti,1316,,ermargora e fortunato,Cannaregio,POINT (12.326135393698538 45.443788862065794),interpolation,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5188,,Dal Maschio,"Marino,",,,s M. del Carmine,campo s. Barn.,2848,,maria dei carmini,Dorsoduro,POINT (12.324572044629628 45.43292152202654),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5189,,Dal Savio,"Agostino,",,,s. Silvestro,ruga dei spezieri,297,,silvestro,San Polo,POINT (12.334031804717972 45.43927768073002),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,305
5190,,Dorigo,"Giacomo,",,,s. Salvatore,a s. Bartol.,5164,,salvador,San Marco,POINT (12.336279301179234 45.437824836414585),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5191,,Duregatti,"Antonio,",,,s. Marco,merceria dell’orologio,265,,marco,San Marco,POINT (12.338615877578457 45.43517326931152),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5192,,Facchin,"Chiara,",,,s. Salvatore,calle della bissa,5466,,salvador,San Marco,POINT (12.33764908221455 45.43773989320651),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5193,,Fanna,Antonio,,rapp. da Arpalice Manin,s. Marco,procuratie vecchie,124,,marco,San Marco,POINT (12.338137429889265 45.434424855289905),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5193,,Fanna,Antonio,,rapp. da Arpalice Manin,s. Marco,procuratie vecchie,124,,marco,San Marco,POINT (12.338137429889265 45.434424855289905),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5194,,Fanna,Antonio,,rapp. da Arpalice Manin,s. Marco,procuratie vecchie,125,,marco,San Marco,POINT (12.33817604070149 45.434441324510296),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5194,,Fanna,Antonio,,rapp. da Arpalice Manin,s. Marco,procuratie vecchie,125,,marco,San Marco,POINT (12.33817604070149 45.434441324510296),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5195,,Fonda,"Angelo,",,,s. Salvatore,ramo fond. Tedeschi,5368,,salvador,San Marco,POINT (12.336556999355325 45.43783882454495),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5196,,Gavazzi,Erede,,di Giuseppe,ss. Ermag. e Fort.,calle dell’aseo,1864,,ermargora e fortunato,Cannaregio,POINT (12.329750429718308 45.44502511324115),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5197,,Gruppi,"Maria,",,,s. M. Formosa,calle lunga,5224,,maria formosa,Castello,POINT (12.341797788088012 45.437697351288726),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5198,,Indrigo,"Catterina,",,,s. Francesco,salizz. ,3165,,francesco,Castello,POINT (12.347260261996814 45.437070700031086),interpolation,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5199,,Jnsom,"Giovanni,",,,s. Marco,procuratie vecchie,114,,marco,San Marco,POINT (12.337836360675437 45.43429361558293),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5200,,Karrer,Giacomo,Comp.,"rapp. da Karrer Giacomo, Karrer Giorgio Enrico, Karrer Cesare Federico e Mazza Federico,",s. Marziale,fond. Ormesini,2687,,marziale,Cannaregio,POINT (12.329124966429076 45.44538859882673),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5201,,Lisandri,"Eugenio,",,,s. Silvestro,calle dei sansoni,956,,silvestro,San Polo,POINT (12.333220569377165 45.43852718941389),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5202,,Lotti,"Giovanni,",,,s. Gio. in Bragora,rio terra s. Antonino,3475,,giovanni in bragora,Castello,POINT (12.346282527998316 45.43545919260796),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5203,,Marchesi,"Alessandro,",,,s. Marco,all’Ascensione,1255,,marco,San Marco,POINT (12.337077286097509 45.43342652562229),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5204,,Martini,"Gio.; Maria,",,,s. Silvestro,calle due mori ,415,,silvestro,San Polo,POINT (12.334244345060291 45.438780788733986),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
5205,,Marzollo,"Pietro,",,,s. Simeone Prof.,rio Marin,779,,simeon profeta,Santa Croce,POINT (12.324748757426024 45.43965980473724),contemporary,"terraglie, porcellane, vetri e cristalll(negoz e venditori di)","china, earthenware tableware, glassware, crystalware",Articoli per la casa,Household items,306
